,Estado,Lon,Lat,Clave,Est,Tmin
332,NL,-100.17,25.95,CDFNL,Ciénega de Flores N.L.,7.103448276
333,NL,-99.61,26.09,CRVNL,Cerralvo N.L.,7.0
334,OAX,-96.48,15.67,PTAOX,Puerto Ángel Oax.,21.92580645
335,OAX,-94.82,16.58,CHIOX,Chicapa Oax.,21.77586207
336,OAX,-95.93,16.65,BOQOX,Boquilla 1 Oax.,11.19354839
337,OAX,-96.7,17.0,OAOOX,Observatorio de Aeropuerto Oaxaca Oax.,9.464516129
338,OAX,-96.73,17.07,OACOX,Oaxaca Centro Oax.,11.61290323
339,OAX,-95.48,17.45,MAROX,María Lombardo Oax.,16.84615385
340,OAX,-97.78,17.81,HLOOX,Observatorio de Huajuapan de León Oax.,6.687096774
341,OAX,-96.2,17.87,JACOX,Jacatepec Oax.,17.05
342,OAX,-96.53,17.88,SFUOX,San Felipe Usila Oax.,15.37931034
343,OAX,-96.26,18.0,CDOOX,Miguel de la Madrid Hurtado Oax.,16.72413793
344,OAX,-96.08,18.17,PAPOX,Papaloapan Oax.,19.96153846
345,OAX,-96.41,18.23,TEMOX,Presidente Alemán Oax.,18.37037037
346,PUE,-98.57,18.11,CHSPB,Chila de la Sal Pue.,6.161290322999999
347,PUE,-98.26,18.2,PIXPB,Piaxtla Pue.,9.935483871
348,PUE,-98.78,18.45,TELPB,Teotlalco Pue.,8.129032257999999
349,PUE,-97.4,18.48,TEHPB,Tehuacán Pue.,6.322580645
350,PUE,-98.58,18.52,CHIPB,Chietla Pue.,11.74193548
351,PUE,-98.47,18.61,IZMPB,Izúcar de Matamoros Pue.,17.77419355
352,PUE,-98.54,18.77,HQCPB,Huaquechula Pue.,9.774193548
353,PUE,-97.75,18.88,TECPB,Tecamachalco Pue.,4.64516129
354,PUE,-98.11,18.91,BDDPB,Manuel Ávila Camacho Pue.,3.322580645
355,PUE,-97.25,18.92,PCRPB,Paso Carretas Pue.,3.258064516
356,PUE,-98.42,18.92,ATXPB,Atlixco Pue.,8.677419355
357,PUE,-98.28,18.97,ECHPB,Echeverría Pue.,5.35483871
358,PUE,-97.96,18.97,CEMPB,Cemex Pue.,4.322580645
359,PUE,-97.44,18.99,CDSPB,Ciudad Serdán Pue.,2.903225806
360,PUE,-98.23,19.01,MAYPB,Mayorazgo 21 Poniente Pue.,5.435483871000001
361,PUE,-98.2,19.02,CNAPB,Conagua Pue.,6.661290322999999
362,PUE,-98.17,19.05,PUOPB,Observatorio de Puebla Pue.,5.993548387000001
363,PUE,-97.93,19.06,ACJPB,Acajete Pue.,3.806451613
364,PUE,-98.32,19.07,CHLPB,Cholula Pue.,5.35483871
365,PUE,-98.06,19.09,CPLPB,Capulac Pue.,5.741935484
366,PUE,-98.46,19.1,HJTPB,Huejotzingo Pue.,4.193548387
367,PUE,-97.62,19.25,QUIPB,Quimixtlán Pue.,6.85
368,PUE,-97.42,19.45,ACHPB,Alchichilca Pue.,0.435483871
369,PUE,-97.69,19.46,LIBPB,Libres Pue.,3.935483871
370,PUE,-97.49,19.49,TPYPB,Tepeyahualco Pue.,2.032258065
371,PUE,-97.53,19.7,OYAPB,Oyameles Pue.,2.322580645
372,PUE,-98.05,19.74,CNGPB,Chignahuapan Pue.,1.838709677
373,PUE,-97.36,19.82,TEZPB,Teziutlán Pue.,6.538461538
374,PUE,-97.81,19.83,TEOPB,Tetela de Ocampo Pue.,5.533333333
375,PUE,-97.58,19.86,ZCPPB,Zacapoaxtla Pue.,6.7241379310000005
376,PUE,-97.79,20.0,TDRPB,Tepango de Rodríguez Pue.,5.483870968
377,PUE,-98.15,20.03,AHUPB,Ahuazontepec Pue.,1.403225806
378,PUE,-97.52,20.03,CTZPB,Cuetzalan Pue.,10.64516129
379,PUE,-98.05,20.18,HUAPB,Huauchinango Pue.,8.517241379
380,PUE,-98.05,20.18,UDSPB,Universidad de la Sierra Pue.,7.689655172
381,PUE,-97.83,20.18,ZRGPB,Zaragoza Pue.,5.032258065
382,PUE,-97.96,20.28,XDJPB,Xicotepec de Juárez Pue.,10.56896552
383,PUE,-97.84,20.41,APAPB,Apapantilla Pue.,15.74193548
384,PUE,-97.68,20.51,VENPB,Venustiano Carranza Pue.,6.322580645
385,QROO,-88.33,18.5,CHOQR,Chetumal Q. Roo.,18.29354839
386,QROO,-88.04,19.58,FCRQR,Felipe Carrillo Puerto Q. Roo.,16.40333333
387,QROO,-86.95,20.51,COZQR,Cozumel Q. Roo.,20.31034483
388,QROO,-87.08,20.63,PDCQR,Playa del Carmen Q. Roo.,18.16666667
389,QROO,-86.82,21.16,CANQR,Cancún Q. Roo.,21.125
390,SIN,-106.4,23.23,MZTSI,Mazatlán Sin.,16.49032258
391,SIN,-106.25,23.35,SQRSI,Siqueros Sin.,12.25806452
392,SIN,-106.9,23.92,LCRSI,La Cruz Sin.,11.93548387
393,SIN,-106.7,24.12,SLTSI,Ing. Aurelio Benassini Vizcaino Sin.,13.35483871
394,SIN,-106.81,24.57,JLPSI,José López Portillo Sin.,12.91935484
395,SIN,-107.44,24.63,OBSSI,Observatorio de Culiacán Sin.,12.41290323
396,SIN,-107.1,24.45,SLRSI,San Lorenzo Sin.,13.72580645
397,SIN,-107.4,24.82,CLCSI,Culiacán Sin.,12.11290323
398,SIN,-107.47,25.03,AWSSI,Andrew Weiss Sin.,9.661290323
399,SIN,-107.84,25.49,SJNSI,San Juan Sin.,10.43548387
400,SIN,-108.09,25.47,GMCSI,Guamúchil Sin.,12.16129032
401,SIN,-108.47,25.72,GSVSI,Guasave Sin.,11.67741935
402,SIN,-109.0,25.8,MCHSI,Los Mochis Sin.,12.72580645
403,SIN,-108.01,25.9,JNASI,Jaina Sin.,9.35483871
404,SIN,-108.7,26.43,JORSI,Josefa Ortiz de Domínguez Sin.,11.79032258
405,SIN,-108.58,26.51,PMHSI,Miguel Hidalgo Sin.,8.629032257999999
406,SLP,-98.76,21.24,TMTSL,Temamatla S.L.P.,15.39285714
407,SLP,-98.86,21.25,TBLSL,Tierra Blanca S.L.P.,15.26206897
408,SLP,-98.89,21.42,RQTSL,Requetemu S.L.P.,14.91785714
409,SLP,-98.62,21.69,SVTSL,San Vicente S.L.P.,14.96428571
410,SLP,-98.96,21.75,BLMSL,Ballesmi S.L.P.,14.63571429
411,SLP,-98.94,21.85,PUJSL,El Pujal S.L.P.,14.42592593
412,SLP,-99.24,21.91,GANSL,Gallinas S.L.P.,13.19259259
413,SLP,-98.77,22.0,TMISL,Tamuín S.L.P.,15.21851852
414,SLP,-99.16,22.12,MICSL,Micos S.L.P.,14.25185185
415,SLP,-99.32,22.52,NRJSL,Naranjos S.L.P.,13.22758621
416,SON,-109.11,27.23,ARCSO,Adolfo Ruíz Cortínes Son.,10.9516129
417,SON,-109.94,27.5,COBSO,Ciudad Obregón Son.,8.951612903
418,SON,-109.21,27.66,TSOSO,Tesocoma Son.,5.709677419
419,SON,-109.89,27.82,AOBSO,Álvaro Obregón Son.,12.53333333
420,SON,-110.85,27.95,GYMSO,Guaymas Son.,11.7516129
421,SON,-110.8,27.95,EPLSO,Empalme Son.,10.36774194
422,SON,-108.92,28.37,YC2SO,Yécora Son. SMN*,-2.690322581
423,SON,-108.93,28.37,YCRSO,Yécora Son.,-3.431612903
424,SON,-111.83,28.75,BAHIAKINO,Bahía de Kino Son. SMN*,8.738709677000001
425,SON,-110.92,29.07,HM2SO,Observatorio de Hermosillo Son.,9.287096774
426,SON,-110.93,29.07,HMNSO,Hermosillo Son.,10.27419355
427,SON,-110.73,29.21,PMOSO,Ing. Rodolfo Félix Valdés Son.,7.05
428,SON,-110.71,29.23,ORGSO,El Oregano Son.,7.64516129
429,SON,-110.74,29.47,CJNSO,El Cajón Son.,3.916666667
430,SON,-110.17,30.34,ARZSO,Arizpe Son.,0.323225806
431,SON,-108.93,30.36,BCRSO,Bacerac Son.,-0.580645161
432,SON,-111.45,30.39,SRSSO,Santa Rosa 2 Son.,4.032258065
433,SON,-109.38,30.44,LCDSO,Lázaro Cárdenas Son.,8.15
434,SON,-110.24,30.6,BCNSO,Bacanuchi Son.,-0.35483871
435,SON,-111.73,30.72,ALTSO,Altar Son.,6.019354839
436,SON,-110.95,31.32,NGLSO,Nogales Son.,4.451724138
437,SON,-112.85,31.87,NYNSO,Sonoyta Son.,3.548387097
438,TAB,-92.75,17.39,OXOTB,Oxolotán Tab.,19.0625
439,TAB,-91.48,17.43,BDCTB,Boca del Cerro Tab.,19.0
440,TAB,-92.82,17.47,TAPTB,Tapijulapa Tab.,18.68333333
441,TAB,-92.92,17.5,SJOTB,San Joaquín Tab.,18.44444444
442,TAB,-92.97,17.57,TEATB,Teapa Tab.,18.95
443,TAB,-92.94,17.57,PUYTB,Puyacatengo Tab.,18.51785714
444,TAB,-92.6,17.77,MACTB,Macuspana Tab.,18.89583333
445,TAB,-91.16,17.79,SPTTB,San Pedro Tab.,17.58064516
446,TAB,-93.38,18.0,CARTB,Cárdenas Tab.,19.05357143
447,TAB,-92.88,17.85,PNVTB,Pueblo Nuevo Tab.,17.98148148
448,TAB,-93.0,17.98,GONTB,González Tab.,18.59259259
449,TAB,-93.28,18.0,SAMTB,Samaria Tab.,17.82
450,TAB,-92.92,17.98,EMUTB,Villahermosa Muelle Tab.,20.47083333
451,TAB,-92.81,18.04,EPOTB,El Porvenir Tab.,18.46428571
452,TAMPS,-97.88,22.24,TMPTP,Tampico Tamps.,16.092
453,TAMPS,-97.84,22.28,MDRTP,Madero Tamps.,16.12272727
454,TAMPS,-97.93,22.39,BALTP,Bombas Altamira Tamps.,15.24642857
455,TAMPS,-98.42,22.42,TMSTP,Tamesí Tamps.,14.30714286
456,TAMPS,-98.69,22.6,ERCTP,Estudiante Ramiro Caballero Dorantes Tamps.,14.23103448
457,TAMPS,-98.71,22.8,MGSTP,Magiscatzín Dos Tamps.,13.02413793
458,TAMPS,-99.12,22.83,LSRTP,La Servilleta Tamps.,13.59310345
459,TAMPS,-99.0,22.85,RFRTP,Río Frío Tamps.,13.50344828
460,TAMPS,-98.79,22.94,SLZTP,Lic. Emilio Portes Gil Tamps.,14.04827586
461,TAMPS,-99.09,23.02,SBNTP,Sabinas Tamps.,12.60689655
462,TAMPS,-97.77,23.05,BTORDO,Barra del Tordo Tamps. SMN*,14.64090909
463,TAMPS,-98.79,23.08,SGBTP,San Gabriel Tamps.,12.24137931
464,TAMPS,-97.99,23.26,RSPTP,República Española Tamps.,12.85
465,TAMPS,-99.08,23.38,ENNTP,La Encantada Tamps.,10.52666667
466,TAMPS,-99.17,23.72,CVCTP,Observatorio de Ciudad Victoria Tamps.,9.259259259
467,TAMPS,-98.75,23.73,PDMTP,Paso de Molina Tamps.,10.48571429
468,TAMPS,-98.21,23.77,SLMTP,Soto la Marina Tamps.,10.63793103
469,TAMPS,-98.67,23.96,VGRTP,Vicente Guerrero Tamps.,11.01785714
470,TAMPS,-98.9,24.05,PADTP,Padilla Tamps.,10.02758621
471,TAMPS,-99.12,24.08,BR1TP,El Barretal Uno Tamps.,9.965517241
472,TAMPS,-99.22,24.1,BRRTP,El Barretal Tamps.,9.306896552000001
473,TAMPS,-98.9,24.14,PILTP,Pilón Tamps.,9.766666667
474,TAMPS,-99.58,24.18,PVLTP,Puerto de Valles Tamps.,6.725925926
475,TAMPS,-99.56,24.25,PJMTP,Pedro José Méndez Tamps.,10.05769231
476,TAMPS,-99.43,24.25,MHGTP,Miguel Hidalgo Tamps.,8.825
477,TAMPS,-97.8,25.7,VHMTP,Valle Hermoso Tamps.,10.44444444
478,TAMPS,-97.52,25.83,MATTP,Matamoros Tamps.,10.82608696
479,TAMPS,-98.29,26.08,RYATP,S-J-3-42 Reynosa Tamps.,8.5
480,TAMPS,-98.93,26.2,MRGTP,Marte R. Gómez Tamps.,8.576923077
481,TAMPS,-98.6,26.24,CDOTP,S-J-2-18 Ciudad Díaz Ordaz Tamps.,9.16
482,TLAX,-97.91,19.2,ZITTL,Zitlaltepec Tlax.,2.8
483,TLAX,-97.77,19.3,CUATL,Cuapiaxtla Tlax.,1.967741935
484,VER,-94.92,17.42,LPEVC,Las Perlas Ver.,16.53571429
485,VER,-95.03,17.43,JCRVC,Jesús Carranza Ver.,17.36296296
486,VER,-94.09,17.87,JDCVC,San José del Carmen Ver.,16.05172414
487,VER,-95.13,17.88,SJEVC,San Juan Evangelista Ver.,18.68333333
488,VER,-94.67,17.95,JALVC,Jaltipán Ver.,19.22222222
489,VER,-94.77,18.14,MNZVC,Minzapan Ver.,17.42592593
490,VER,-95.3,18.14,CTTVC,Coatotolapan Ver.,16.46666667
491,VER,-95.35,18.25,LAUVC,Lauchapan Ver.,15.69642857
492,VER,-96.35,18.45,TBLVC,Tierra Blanca Ver.,17.26666667
493,VER,-95.44,18.58,ARCVC,Ángel Rosario Cabada Ver.,16.73214286
494,VER,-97.1,18.85,ORZVC,Orizaba Ver.,11.38888889
495,VER,-97.23,18.92,LGRVC,Loma Grande Ver.,2.451612903
496,VER,-96.61,19.02,VTEVC,Villa Tejeda Ver.,16.19354839
497,VER,-96.16,19.07,ETEVC,El Tejar Ver.,16.41935484
498,VER,-96.33,19.15,MFAVC,Manlio Fabio Altamirano Ver.,17.20689655
499,VER,-96.11,19.15,VERVC,Veracruz Ver.,19.31481481
500,VER,-96.95,19.18,HTSVC,Huatusco Ver.,6.379310345
501,VER,-96.49,19.34,TAMVC,Tamarindo Ver.,19.46153846
502,VER,-96.37,19.36,CRDVC,Cardel Ver.,17.58064516
503,VER,-96.55,19.4,IDOVC,Ídolos Ver.,17.96666667
504,VER,-96.36,19.41,ENRVC,El Naranjillo Ver.,17.15
505,VER,-96.93,19.48,BRIVC,Briones Ver.,7.516666667000001
506,VER,-96.59,19.5,ACTVC,Actopan Ver.,19.25
507,VER,-96.92,19.53,XOBVC,Observatorio de Xalapa Ver.,10.39285714
508,VER,-96.85,19.55,XCFVC,Xalapa CFE Ver.,10.33333333
509,VER,-97.02,19.6,JOYVC,La Joya Ver.,3.142857143
510,VER,-97.1,19.65,LVRVC,Las Vigas de Ramírez Ver.,2.583333333
511,VER,-96.87,19.65,NAOVC,Naolinco Ver.,8.777777777999999
512,VER,-96.84,19.7,ACAVC,Acatlán Ver.,6.448275862000001
513,VER,-97.23,19.76,ALTVC,Altotonga Ver.,4.896551724
514,VER,-96.98,20.05,LIBVC,Libertad Ver.,17.0625
515,VER,-97.78,20.88,SBTVC,Sombrerete Ver.,14.56666667
516,VER,-97.68,20.93,ALAVC,Álamo Temapache Ver.,15.32758621
517,VER,-97.4,20.96,TXPVC,Tuxpan Ver.,16.5
518,VER,-98.34,21.29,PSNVC,Platón Sánchez Ver.,14.82142857
519,VER,-98.38,21.52,TMPVC,Tempoal Ver.,14.37857143
520,VER,-98.44,21.78,HGOVC,El Higo Ver.,14.63571429
521,VER,-98.51,21.84,OLVVC,El Olivo Ver.,14.63928571
522,VER,-98.17,22.05,PNCVC,Pánuco Ver.,15.48214286
523,YUC,-88.93,20.13,PETYC,Peto Yuc.,14.0483871
524,YUC,-89.39,20.29,OXKYC,Oxkutzcab Yuc.,11.64516129
525,YUC,-89.56,20.4,TICYC,Ticul Yuc.,15.12068966
526,YUC,-89.08,20.46,CANYC,Cantamayec Yuc.,16.43333333
527,YUC,-89.71,20.49,MUNYC,Muna Yuc.,16.12068966
528,YUC,-88.2,20.69,VALYC,Valladolid Yuc.,17.68666667
529,YUC,-89.83,20.75,CHOYC,Chocholá Yuc.,16.86666667
530,YUC,-89.64,20.94,FAEYC,Fuerza Aérea Yuc.,18.33571429
531,YUC,-89.65,20.95,MEOYC,Observatorio de Mérida Yuc.,18.113793100000002
532,YUC,-89.58,20.98,EZAYC,Emiliano Zapata Yuc.,18.03333333
533,YUC,-89.66,20.98,GARYC,Organismo de Cuenca Península de Yucatán Yuc.,16.43333333
534,YUC,-89.64,21.03,CICYC,Centro de Investigación Científica Yuc.,18.43548387
535,YUC,-87.99,21.16,TIZIMIN,Tizimín Yuc. SMN*,15.74482759
536,YUC,-89.65,21.28,PROYC,Progreso Yuc.,18.82692308
537,YUC,-87.68,21.51,CYOYC,El Cuyo Yuc.,19.86666667
538,ZAC,-102.85,21.36,NCTZC,Nochistlán Zac.,2.806451613
539,ZAC,-103.34,21.59,VILZC,José María Morelos Zac.,8.661290323
540,ZAC,-103.35,21.65,EXCZC,Miguel Alemán Zac.,3.2903225810000003
541,ZAC,-102.9,21.71,PMOZC,Moraleños Zac.,7.2258064520000005
542,ZAC,-103.46,21.81,ATGZC,Atolinga Zac.,1.0
543,ZAC,-102.9,22.0,CHIZC,El Chique Zac.,9.225806452
544,ZAC,-101.4,22.12,PINZC,Pino Suárez Zac.,0.7419354840000001
545,ZAC,-102.86,22.12,TAYZC,Ing. Julián Adame Alatorre Zac.,3.8870967739999998
546,ZAC,-101.72,22.35,VHGZC,Villa Hidalgo Zac.,1.870967742
547,ZAC,-102.8,22.35,PALZC,Palomas Zac.,2.177419355
548,ZAC,-102.04,22.67,ELSZC,El Saladillo Zac.,-0.516129032
549,ZAC,-103.6,22.69,LFLZC,La Florida Zac.,-0.9032258059999999
550,ZAC,-102.51,22.75,GPEZC,Guadalupe Zac.,5.167741935
551,ZAC,-102.51,22.75,ZA2ZC,Zacatecas Zac. SMN*,5.44516129
552,ZAC,-102.58,22.76,ZACZC,Zacatecas Zac.,7.693548387000001
553,ZAC,-102.57,22.78,LBUZC,La Bufa Zac.,7.45483871
554,ZAC,-102.95,22.82,BTEZC,Ramón López Velarde Zac.,3.4290322580000003
555,ZAC,-103.38,22.85,LOBZC,Manuel Felgueres Zac.,0.306451613
556,ZAC,-103.11,22.92,STRZC,Santa Rosa Zac.,3.419354839
557,ZAC,-103.22,23.18,LREZC,Gobernador Leobardo Reynoso Zac.,1.5806451609999999
558,ZAC,-103.64,23.64,SOMZC,Sombrerete Zac.,5.012903226000001
559,ZAC,-103.1,23.69,ELCZC,El Cazadero Zac.,2.112903226
560,ZAC,-103.03,23.82,RGRZC,Río Grande Zac.,1.338709677
561,MICH,-102.54,19.98,GUAMC,Guaracha Mich.,6.516129032
562,MICH,-102.42,20.18,BIBMC,Barraje de Ibarra Mich.,5.5
563,VER,-98.27,21.16,HLSVC,Los Hules Ver.,14.08571429
564,DGO,-105.5,26.44,VILLAOCAMPO,Villa Ocampo Dgo. SMN*,-0.403225806
565,YUC,-89.64,21.05,FIYYC,Fiuady Yuc.,16.45666667
566,CHIS,-93.19,17.61,JUAREZ,Juárez Chis. Protección Civil*,19.09615385
567,YUC,-88.17,21.16,TIZYC,Tizimín Yuc.,15.56666667
568,NL,-99.28,25.71,CCHNL,Cuchillo-Solidaridad N.L.,9.304347826
569,DF,-99.1,19.48,ENP 3,Justo Sierra,8.716129032000001
570,OAX,-95.92,17.73,RMLOX,Río Manso Lalana Oax.,17.62962963
571,GRO,-100.66,18.35,CA2GR,Ciudad Altamirano Gro. SMN*,22.39677419
572,VER,-96.94,19.59,BANVC,Banderillas Ver.,7.612903226
573,CHIS,-92.97,15.73,CUXTEPEQUES,Finca Cuxtepeques Chis. SGT*,13.25483871
574,CHIS,-93.63,16.49,NVAPALESTINA,Nueva Palestina Chis. SGT*,15.28064516
575,DF,-99.16,19.35,ENP 6,Antonio Caso,8.906451613
576,DF,-99.13,19.48,ENP 9,Pedro de Alva,9.874193548
577,DGO,-104.66,24.2,PAGDR,Peña del Águila Dgo.,-0.225806452
578,MOR,-99.25,19.05,TRESMARIAS,Tres Marías Mor. SMN*,2.451612903
579,PUE,-98.06,18.28,ADOPB,Acatlán de Osorio Pue.,10.58064516
580,PUE,-98.16,18.61,COAPB,Coatzingo Pue.,9.35483871
581,PUE,-98.22,19.11,SCRPB,San Cristóbal Caleras Pue.,3.129032258
582,TAB,-92.74,17.39,OXOLOTAN,Oxolotán Tab. SGT*,18.25
583,YUC,-89.05,20.03,TANYC,Tantaquín Yuc.,12.24193548
584,DGO,-104.28,25.08,SLCDR,San Luis del Cordero Dgo.,3.516129032
585,YUC,-88.47,20.39,CHIYC,Chan-Chichimilá Yuc.,14.48333333
586,DF,-99.06,19.38,CCH O,CCH Oriente,8.196774194
587,NL,-100.12,23.42,MYNNL,Mier y Noriega N.L.,7.129032258
588,VER,-96.14,19.04,PDTVC,Paso del Toro Ver.,20.23809524
589,YUC,-89.22,19.88,BECYC,Becanchén Yuc.,14.18333333
590,DGO,-103.98,23.74,VGCDR,Vicente Guerrero Dgo.,1.7903225809999999
591,CHIH,-108.52,28.15,C08182,Moris,2.032258065
592,GTO,-100.88,21.1,PNLGJ,Peñuelitas Gto.,4.120689655
593,TAMPS,-99.13,23.73,76490,Cd. Victoria (Automatica),11.14642857
594,JAL,-103.25,22.13,CLTJL,Colotlán Jal.,4.106451613
595,ZAC,-102.62,24.98,NTAZC,Nuevo Tampico Zac.,3.322580645
596,CAMP,-90.11,20.18,HECCA,Hecelchakán Camp.,19.03225806
597,CHIH,-106.22,27.45,BOCADELRIO,Boca del Río Chih. SGT*,2.209032258
598,CHIH,-107.7,28.76,C08243,Tejolocachi,-4.548387097
599,CHIH,-105.96,28.77,C08270,La Mesa,1.35483871
600,CHIH,-106.48,28.8,C08099,Majalca,-2.483870968
601,CHIH,-108.09,29.25,C08219,Peñitas,-7.161290322999999
602,CHIS,-92.18,14.63,ILRAYON,Ignacio López Rayón Chis. SGT*,21.13870968
603,CHIS,-92.15,15.09,VTACANA,Volcán Tacaná Chis. SMN*,14.61290323
604,CHIS,-92.3,15.12,ARGOVIA,Finca Argovia Chis. SGT*,17.13548387
605,CHIS,-92.47,15.15,HUIXTLA,Huixtla Chis. SGT*,20.76451613
606,CHIS,-93.25,16.25,VILLAFLORES,Villaflores Chis. SGT*,13.80322581
607,CHIS,-91.71,16.38,CHAYABE,Finca Chayabé Chis. SGT*,11.95
608,CHIS,-93.56,16.69,LASFLORESII,Las Flores Dos Chis. SGT*,15.15
609,CHIS,-92.62,16.74,SCRCP,Puente Morelos Chis.,6.3
610,CHIS,-92.91,17.0,BOCHIL,Bochil Chis. SGT*,10.35806452
611,COL,-103.88,19.11,DJLCM,Derivadora Jala Col.,16.75806452
612,DF,-99.18,19.33,CCA ,Centro de Ciencias de la Atmósfera,7.625
613,DF,-99.2,19.4,ENP 4,Vidal castañeda y N.,9.622580645
614,DF,-99.09,19.48,GCNDF,km 6+250 del Gran Canal Cd. de Méx.,4.806451613
615,DGO,-104.75,23.96,GVHDR,Guadalupe Victoria Dgo.,4.6290322580000005
616,GRO,-99.6,18.55,TAXCO,Taxco Gro. SGT*,13.72580645
617,GTO,-100.87,20.38,LGVGJ,Presa la Gavia Gto.,4.548387097
618,JAL,-103.23,22.33,ACHZC,Achimec Jal.,2.741935484
619,MEX,-99.28,19.45,TTLMX,Totolica hidrométricas Méx.,7.483870968
620,MEX,-98.91,19.53,SADMX,San Andrés Méx.,4.483870968
621,MEX,-98.91,19.54,ATEMX,Atenco Méx.,1.741935484
622,MEX,-99.39,19.83,TXMHD,Taxhimay Méx.,2.419354839
623,NL,-99.44,24.98,CARNL,Carmen de los Elizondo Linares N.L.,7.142857143
624,OAX,-96.55,17.27,SCIOX,Ixtepeji Oax.,6.935483871000001
625,PUE,-97.4,20.12,RNAPB,Rancho Nuevo Pue.,16.0
626,SIN,-107.16,24.81,SN2SI,Sanalona hidrométrica Sin.,7.451612902999999
627,SIN,-107.91,25.86,GD2SI,Bacurato hidrométrica de Gustavo Diaz Ordáz Sin.,11.32258065
628,SIN,-108.32,26.08,GB2SI,El Sabinal hidrométrica Sin.,12.35483871
629,SIN,-108.32,26.7,76311,CHOIX,8.890322581
630,SON,-109.37,28.98,PELIASCALLES,Presa Plutarco Elías Calles Son. SGT*,11.36
631,TAMPS,-99.19,23.73,CVTTP,Ciudad Victoria Tamps.,10.37037037
632,TAMPS,-99.12,24.08,BARRETALII,Barretal Dos Tamps. SGT*,9.460714286
633,TAMPS,-98.69,25.12,CANDIDOAG,Cándido Aguilar Tamps. SGT*,9.096428571
634,YUC,-89.68,20.65,ABAYC,Abalá Yuc.,11.62903226
635,YUC,-90.38,20.86,CELYC,Celestún Yuc. SMN*,18.59655172
636,YUC,-89.44,21.11,MOCYC,Mocochá Yuc.,14.12903226
637,ZAC,-103.5,22.33,STEZC,Santa Teresa Zac.,5.112903226
638,CHIS,-92.27,15.33,MOTOZINTLA,Motozintla Chis. SGT*,10.9
639,DF,-99.2,19.5,CCH A,CCH Azcapotzalco,7.470967742000001
640,VER,-94.16,17.57,TMOVC,Tierra Morada Ver.,18.05357143
641,VER,-96.92,19.81,TNCVC,Tenochtitlán Ver.,11.70689655
642,CHIS,-92.32,15.56,SILTEPEC,Siltepec Chis. SGT*,15.16428571
643,TAMPS,-99.15,22.99,AHLTP,Ahualulco Tamps.,13.22068966
644,VER,-96.65,19.32,CRRVC,Carrizal Ver.,16.98387097
645,CHIH,-107.26,28.77,BACCH,Bachíniva Chih.,-1.548387097
646,DF,-99.12,19.27,ENP 1,Gabino Barreda,7.8516129029999995
647,JAL,-103.73,22.4,BCSJL,Bocas Jal.,2.5
648,MEX,-99.47,18.8,CHDMX,Colonia Hidalgo Mex.,16.09677419
649,MEX,-99.73,18.93,PDZMX,Porfirio Díaz Méx.,5.677419355
650,MEX,-99.65,19.3,RECMX,Rectoría Méx.,6.806451612999999
651,MEX,-99.24,19.47,CCH N,CCH Naucalpan,8.277419355
652,MEX,-99.8,19.63,SMLMX,Santa María del Llano Méx.,-2.290322581
653,OAX,-95.93,17.15,ZACOX,Zacatepec Oax.,13.04166667
654,VER,-95.42,18.47,TZAVC,Tres Zapotes Ver.,16.68518519
655,VER,-95.52,18.63,NLTVC,Naranjal Lerdo de Tejada Ver.,17.84615385
656,VER,-97.24,19.58,PERVC,Perote Ver.,0.2
657,YUC,-89.5,21.08,CONYC,Conkal Yuc.,13.61290323
658,ZAC,-103.46,21.47,TGOZC,Teúl de González Ortega Zac.,5.055555556
659,ZAC,-102.79,21.56,TLAZC,Tlalchichila Zac.,4.203703704
