,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Lluvias,Edo2
0,COMGJ,-101.47,21.07,GTO,Comanjilla Gto.,6.193548387,15.84677419,25.5,0,GTO
1,SFEGJ,-101.22,21.48,GTO,San Felipe Gto.,2.596774194,11.25,19.90322581,3.2,GTO
2,OCTMR,-98.76,18.88,MOR,Ocuituco Mor.,8.677419355,17.41612903,26.15483871,0,MOR
3,RAVSI,-107.76,25.12,SIN,Estación Rancho Viejo Sin.,10.4516129,20.29032258,30.12903226,0.01,SIN
4,SONVC,-95.03,18.52,VER,Sontecomapan Ver.,14.74074074,20.00925926,25.27777778,181.53,VER
5,CORGJ,-100.36,20.2,GTO,Coroneo Gto.,2.516129032,13.08064516,23.64516129,1.2,GTO
6,LQMGJ,-101.11,21.32,GTO,La Quemada Gto.,1.870967742,11.5483871,21.22580645,0,GTO
7,TAPVC,-96.97,19.45,VER,Tapachapan Ver.,10.56521739,15.5,20.43478261,45.51,VER
8,QTZGR,-98.5,16.66,GRO,Quetzala Gro.,17.77419355,25.27419355,32.77419355,0,GRO
9,POZGJ,-100.5,21.22,GTO,Pozos Gto.,4.741935484,12.83870968,20.93548387,0,GTO
10,TORSI,-105.85,23.09,SIN,Las Tortugas Sin.,12.32258065,22.58064516,32.83870968,0,SIN
11,SMAGJ,-101.02,20.43,GTO,San Miguel de Allende Gto.,4.5,13.98387097,23.46774194,0.9,GTO
12,CLYMX,-99.24,19.53,MEX,Calacoaya Méx.,5.338709677,13.38709677,21.43548387,6.5,MEX
13,VANOX,-96.3,17.78,OAX,Valle Nacional Oax.,17.11538462,22.25,27.38461538,122.14,OAX
14,ESLCL,-100.92,25.44,COAH,E. C. Saltillo Coah.,6.379310345,12.85344828,19.32758621,10.45,COAH
15,ATEOX,-96.53,17.43,OAX,Atepec Oax.,7.387096774,16.01612903,24.64516129,4,OAX
16,CNNSO,-110.29,30.98,SON,Cananea Son.,3.333333333,11.275,19.21666667,34.3,SON
17,TOTVC,-96.95,19.23,VER,Totutla Ver.,9.444444444,15.2962963,21.14814815,14.72,VER
18,ZOQPB,-97.01,18.33,PUE,Zoquitlán Pue.,6.838709677,14.17741935,21.51612903,1.03,PUE
19,AMEMC,-101.66,19.93,MICH,Aristeo Mercado Mich.,6.467741935,15.47258065,24.47741935,0.2,MICH
20,YXTGR,-99.93,17.6,GRO,Yextla Gro.,10.19354839,17.37096774,24.5483871,0,GRO
21,OTIVC,-96.97,19.55,VER,Otilpan Ver.,9.25,14,18.75,56.6,VER
22,SMOGJ,-100.75,20.58,GTO,San Miguel Octopan Gto.,6.822580645,15.06451613,23.30645161,0.01,GTO
23,SMAOX,-96.45,17.12,OAX,San Antonio Cuajimoloyas Oax.,2.677419355,8.967741935,15.25806452,5.22,OAX
24,SGOZC,-103.51,24.29,ZAC,Santiago Zac.,3.758064516,10.07258065,16.38709677,5,ZAC
25,SLUBS,-109.92,22.89,BCS,Cabo San Lucas B.C.S. SMN*,18.13548387,22.69193548,27.2483871,0,BCS
26,XPJCA,-89.4,18.5,CAMP,Xpujil Camp.,17.96666667,23.56666667,29.16666667,21,CAMP
27,CATARINITAS,-92.48,15.97,CHIS,Catarinitas Chis. SGT*,17.09032258,24.32258065,31.55483871,0,CHIS
28,ZAPALUTA,-92.05,16.12,CHIS,Zapaluta Chis. SGT*,11.29032258,16.97580645,22.66129032,4.8,CHIS
29,YAQUINTELA,-91.73,16.91,CHIS,Yaquintela Chis. SGT*,15.1,20.90344828,26.70689655,30.6,CHIS
30,SCLDR,-103.35,24.47,DGO,Santa Clara Dgo.,0.774193548,11.83870968,22.90322581,6.5,DGO
31,LAGUNASGT,-98.13,20.14,HGO,La Laguna Hgo. SGT*,5.6356,10.6418,15.648,15.1,HGO
32,TLAJOMULCO,-103.42,20.44,JAL,Tlajomulco Jal. SMN*,5.95483871,15.77741935,25.6,5.6,JAL
33,AL2NL,-100.01,25.27,NL,Allende Dos N. L.,6.444444444,13.31481481,20.18518519,53.85,NL
34,RHOOX,-95.48,16.59,OAX,Río Hondo Oax.,18.90322581,26.03225806,33.16129032,0.01,OAX
35,TLPPB,-96.85,18.4,PUE,Tlacotepec de Díaz Pue.,15.34482759,20.39655172,25.44827586,39.23,PUE
36,NECAXASGT,-98,20.22,PUE,Necaxa Pue. SGT*,9.900833333,13.76354167,17.62625,13.3,PUE
37,TANCHACHIN,-99.15,21.82,SLP,Tanchachín S.L.P. SGT*,14.8,20.10535714,25.41071429,38.5,SLP
38,TAPCP,-92.26,14.91,CHIS,Tapachula Chis.,22.31612903,28.39677419,34.47741935,0,CHIS
39,NGRAG,-102.37,21.78,AGS,El Niagara Ags.,3.741935484,14.02419355,24.30645161,5.51,AGS
40,MNLAG,-102.79,21.81,AGS,Media Luna Ags.,3.483870968,14.5,25.51612903,24.3,AGS
41,CALVILLO,-102.71,21.85,AGS,Calvillo Ags. SMN*,3.874193548,15.1983871,26.52258065,18.17,AGS
42,OBSAG,-102.29,21.85,AGS,Observatorio de Aguascalientes Ags.,5.716129032,14.89677419,24.07741935,8.71,AGS
43,AGSAG,-102.31,21.9,AGS,Aguascalientes Ags.,6.403225806,14.93548387,23.46774194,6.61,AGS
44,CNSAG,-102,21.9,AGS,Los Conos Ags.,3.790322581,13.60483871,23.41935484,13.2,AGS
45,CDRAG,-102.68,22,AGS,La Codorniz Ags.,7.112903226,15.81451613,24.51612903,16.7,AGS
46,JCQAG,-102.36,22.12,AGS,Jocoque Ags.,4.419354839,13.77419355,23.12903226,6.3,AGS
47,PECAG,-102.42,22.14,AGS,Plutarco Elías Calles Ags.,5.564516129,14.29032258,23.01612903,6,AGS
48,PBLAG,-102.29,22.16,AGS,Pabellón Ags.,3.983870968,13.23387097,22.48387097,6.8,AGS
49,ANVAG,-102.47,22.19,AGS,Cincuenta Aniversario Ags.,5.422580645,14.07258065,22.72258065,10.6,AGS
50,PTRAG,-102.44,22.24,AGS,Derivadora Pabellón Ags.,5.064516129,13.57258065,22.08064516,17.41,AGS
51,CSOAG,-102.3,22.36,AGS,Cosío Ags.,0.790322581,9.435483871,18.08064516,7.2,AGS
52,CATAVINA,-114.72,29.73,BC,Cataviña B.C. SMN*,8.65,13.98666667,19.32333333,11.31,BC
53,CNDCA,-91.05,18.18,CAMP,Candelaria Camp.,17.22580645,23.37096774,29.51612903,10.45,CAMP
54,PLZCA,-92.09,18.25,CAMP,Palizada Camp.,18.25806452,23.24193548,28.22580645,33,CAMP
55,ESCCA,-90.74,18.6,CAMP,Escárcega Camp.,18.25925926,22.98148148,27.7037037,17.93,CAMP
56,CARCA,-91.76,18.65,CAMP,El Carmen Camp.,21.31818182,25,28.68181818,7.41,CAMP
57,SBNCA,-91.18,18.97,CAMP,Sabancuy Camp.,17.48275862,22.43103448,27.37931034,8,CAMP
58,CANCA,-90.58,19.3,CAMP,Canasayab Camp.,16.5483871,23.08064516,29.61290323,29.92,CAMP
59,CHMCA,-90.72,19.36,CAMP,Champotón Camp.,17.37037037,23.33333333,29.2962963,38.01,CAMP
60,NYXCA,-90.22,19.61,CAMP,Noh-Yaxché Camp.,15.76666667,23.55,31.33333333,6.1,CAMP
61,XCPCA,-89.86,19.66,CAMP,Xcupil Camp.,14.77419355,22.79032258,30.80645161,12.03,CAMP
62,HPOCA,-89.85,19.75,CAMP,Hopelchen Camp.,15.23333333,22.46666667,29.7,52.8,CAMP
63,CMPCA,-90.54,19.84,CAMP,Campeche Camp.,17.46428571,22.76785714,28.07142857,24.5,CAMP
64,COBCA,-90.51,19.84,CAMP,Observatorio de Campeche Camp.,17.37777778,23.41666667,29.45555556,22.4,CAMP
65,BOLCA,-89.74,20,CAMP,Bolonchen Camp.,17.53448276,23.43965517,29.34482759,54,CAMP
66,URICH,-107.92,27.22,CHIH,Urique Chih. SMN*,11.56774194,18.91774194,26.26774194,22.86,CHIH
67,URECH,-107.91,27.22,CHIH,Urique Chih.,9.206451613,18.43709677,27.66774194,33.71,CHIH
68,CNDCH,-108.54,27.42,CHIH,Chínipas Chih.,6.74516129,15.76774194,24.79032258,44.01,CHIH
69,BSSCH,-108.21,28.21,CHIH,Basaseachi Chih.,-2.312903226,7.362903226,17.03870968,75.9,CHIH
70,AGZCH,-107.48,28.48,CHIH,Abraham González Chih.,-3.333333333,6.833333333,17,20,CHIH
71,QIJCH,-106.09,28.66,CHIH,Observatorio de Chihuahua Chih.,3.438709677,11.93225806,20.42580645,6.41,CHIH
72,TMCCH,-107.85,28.95,CHIH,Temósachic Chih.,-4.032258065,7.009677419,18.0516129,8.36,CHIH
73,TNTCH,-107.38,29.56,CHIH,El Tintero Chih.,-0.322580645,8.709677419,17.74193548,7,CHIH
74,OJNCH,-104.41,29.56,CHIH,Ojinaga Chih.,2.016129032,10.81451613,19.61290323,13.02,CHIH
75,LJSCH,-107.03,29.88,CHIH,Las Lajas Chih.,-0.903225806,6.774193548,14.4516129,4.5,CHIH
76,CAGCH,-107.93,30.38,CHIH,Casas Grandes Chih.,-0.380645161,8.079032258,16.53870968,5.3,CHIH
77,SMICP,-92.24,15.78,CHIS,San Miguel Chis.,13.83870968,23.61290323,33.38709677,0.42,CHIS
78,SDOCP,-93.06,16.45,CHIS,Santo Domingo Chis.,16.08333333,23.45,30.81666667,0.01,CHIS
79,PCOCP,-91.97,15.85,CHIS,Puente Concordia Chis.,13.90322581,21.81451613,29.72580645,3.61,CHIS
80,REFCP,-92.67,15.92,CHIS,Reforma Chis.,13.87096774,22.43548387,31,0.7,CHIS
81,REVCP,-93.08,16.16,CHIS,Revolución Mexicana Chis.,14.74193548,21.97580645,29.20967742,0,CHIS
82,AROCP,-93.9,16.24,CHIS,Arriaga Chis.,21.71290323,28.11612903,34.51935484,14.2,CHIS
83,ANGCP,-92.78,16.4,CHIS,Doctor Belisario Domínguez Chis.,16.70967742,24.48387097,32.25806452,0.01,CHIS
84,ACACP,-92.8,16.55,CHIS,Acala Chis.,15.58064516,23.02419355,30.46774194,0.8,CHIS
85,BOQCP,-93.15,16.64,CHIS,Boquerón Chis.,16.58064516,24.03225806,31.48387097,0,CHIS
86,SCOCP,-92.63,16.73,CHIS,Observatorio de San Cristóbal Chis.,7.493333333,14.58333333,21.67333333,1.41,CHIS
87,TXOCP,-93.13,16.75,CHIS,Observatorio de Tuxtla Gutiérrez Chis.,17.55806452,23.71935484,29.88064516,0,CHIS
88,CHICP,-93.1,16.94,CHIS,Manuel Moreno Torres Chis.,17.96666667,23.48333333,29,4.4,CHIS
89,GRICP,-93.12,16.98,CHIS,Grijalva Chis.,16.01612903,23.19354839,30.37096774,6.2,CHIS
90,YAMCP,-93.33,17.12,CHIS,Yamonhó Chis.,15.92857143,21.57142857,27.21428571,64.4,CHIS
91,TAPILULA,-93.01,17.25,CHIS,Tapilula Chis. SGT*,15.44541667,19.75979167,24.07416667,132.3,CHIS
92,PENCP,-93.46,17.45,CHIS,Ángel Albino Corzo Chis.,19.26086957,23.33695652,27.41304348,156.7,CHIS
93,SAACP,-92.35,17.57,CHIS,Salto de Agua Chis.,18.26785714,22.88392857,27.5,219,CHIS
94,SALCL,-101.02,25.38,COAH,Observatorio de Saltillo Coah.,6.438709677,13.45,20.46129032,7.01,COAH
95,STOCL,-101.02,25.38,COAH,Saltillo Coah.,7.551724138,13.44827586,19.34482759,7.42,COAH
96,SPECL,-102.98,25.76,COAH,San Pedro Coah.,5.451612903,14.52419355,23.59677419,2.52,COAH
97,MCVCL,-101.42,26.91,COAH,Monclova Coah.,8.313793103,14.75,21.1862069,5.61,COAH
98,CCGCL,-102.06,26.98,COAH,Cuatro Ciénegas Coah.,5.620689655,14.17241379,22.72413793,13.9,COAH
99,PRSCL,-101,27.42,COAH,Progreso Coah.,4.310344828,12.20689655,20.10344828,18,COAH
100,VCRCL,-100.62,27.52,COAH,Venustiano Carranza Coah.,5.964285714,12.80357143,19.64285714,15.03,COAH
101,PNGCL,-100.53,28.71,COAH,Piedras Negras Coah.,6.911111111,13.42222222,19.93333333,3.8,COAH
102,ZPTCL,-100.9,29.03,COAH,Zapata Coah.,4.633333333,11.01666667,17.4,5,COAH
103,CNTCL,-100.95,29.21,COAH,El Centenario Coah.,4.666666667,11.27777778,17.88888889,5,COAH
104,CDACL,-100.95,29.33,COAH,Ciudad Acuña Coah.,4.814814815,12.14814815,19.48148148,3.02,COAH
105,AMSCL,-101.06,29.45,COAH,Internacional La Amistad Coah.,5.607142857,11.89285714,18.17857143,3.01,COAH
106,CDOCM,-103.72,18.75,COL,Cerro de Ortega Col.,18.32258065,25.99193548,33.66129032,0.01,COL
107,LDACM,-103.77,18.81,COL,Laguna de Amela Col.,18.43333333,25.35833333,32.28333333,0.01,COL
108,MNZCM,-104.32,19.04,COL,Manzanillo Col.,22.73870968,27.11774194,31.49677419,0,COL
109,LPSCM,-103.73,19.22,COL,La Posta Col.,17.37096774,25.29032258,33.20967742,0.2,COL
110,RDRCM,-103.73,19.22,COL,Radar Col.,19.96774194,27.0483871,34.12903226,0,COL
111,BVSCM,-103.61,19.25,COL,Buena Vista Col.,15.5483871,24.12096774,32.69354839,0.01,COL
112,DATDF,-99.2,19.3,DF,Desviación Alta Cd. de Méx.,8.806451613,15.87096774,22.93548387,2,DF
113,CBIDF,-99.17,19.45,DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,9.119354839,15.68709677,22.25483871,0.75,DF
114,SJADF,-99.07,19.47,DF,San Juan de Aragón Cd. de Méx.,6.661290323,15.15322581,23.64516129,7.8,DF
115,CEADF,-99.14,19.52,DF,Campamento Amealco Cd. de Méx.,6.564516129,15.16129032,23.75806452,3.2,DF
116,GVCDR,-104.75,23.96,DGO,Presidente Guadalupe Victoria Dgo.,4.629032258,12.23387097,19.83870968,0.5,DGO
117,FVLDR,-103.96,24,DGO,Francisco Villa Dgo.,3.419354839,14.38709677,25.35483871,1.51,DGO
118,DRGDR,-104.67,24.03,DGO,Durango Dgo.,4.619354839,14.56774194,24.51612903,1.21,DGO
119,CNTDR,-104.75,24.5,DGO,Canatlán Dgo.,2.129032258,12.69354839,23.25806452,2.7,DGO
120,CBRDR,-104.81,24.54,DGO,Caboraca Dgo.,0.935483871,9.669354839,18.40322581,3.02,DGO
121,SACDR,-105.44,25.22,DGO,Salomé Acosta Dgo.,1.822580645,12.47580645,23.12903226,10.31,DGO
122,FZRDR,-103.77,25.27,DGO,Francisco Zarco Dgo.,7.870967742,14.70967742,21.5483871,5.62,DGO
123,CLRDR,-103.52,25.53,DGO,Ciudad Lerdo Dgo.,7.096774194,14.12903226,21.16129032,2.93,DGO
124,THODR,-103.44,26.11,DGO,Tlahualilo Dgo.,4.258064516,13.33870968,22.41935484,11.81,DGO
125,VHGDR,-104.93,26.24,DGO,Villa Hidalgo Dgo.,1.080645161,11.34677419,21.61290323,30.5,DGO
126,CEBDR,-104.12,26.52,DGO,Ceballos Dgo.,1,12.43548387,23.87096774,9.22,DGO
127,OMEGR,-98.43,16.68,GRO,Ometepec Gro.,15,20.51612903,26.03225806,0,GRO
128,ACUGR,-99.75,16.76,GRO,Acapulco Gro. SMN*,18.80967742,26.00483871,33.2,0,GRO
129,ODAGR,-99.8,16.8,GRO,Observatorio de Acapulco Gro.,21.64193548,27.46935484,33.29677419,0,GRO
130,AYUGR,-99.1,16.95,GRO,Ayutla Gro.,16.83870968,25.21774194,33.59677419,0,GRO
131,SJEGR,-100.47,17.14,GRO,San Jerónimo Gro.,21.48387097,26.74193548,32,0,GRO
132,TCOGR,-99.53,17.17,GRO,Tierra Colorada Gro.,18.70967742,25.96774194,33.22580645,0,GRO
133,TLPGR,-98.6,17.5,GRO,Tlapa Gro.,12.5483871,21.56451613,30.58064516,0,GRO
134,CHIGR,-99.5,17.55,GRO,Chilpancingo Gro.,11.75806452,20.38709677,29.01612903,2.1,GRO
135,ODZGR,-99.5,17.6,GRO,Observatorio de Zumpango Gro.,14.51612903,21.37096774,28.22580645,0,GRO
136,CHLGR,-99.18,17.61,GRO,Chilapa Gro.,10.25806452,18.82258065,27.38709677,1,GRO
137,CCHGR,-99.7,17.67,GRO,Chichihualco Gro.,10.80645161,21.20967742,31.61290323,0,GRO
138,OLNGR,-98.74,17.78,GRO,Olinala Gro.,11.12903226,24.12903226,37.12903226,6.5,GRO
139,TLAGR,-99.98,17.79,GRO,Tlacotepec Gro.,8.290322581,13.96774194,19.64516129,0,GRO
140,XXHGR,-98.49,17.9,GRO,Xochihuehuetlán Gro.,10.48387097,22.08064516,33.67741935,0,GRO
141,IGLGR,-99.55,18.35,GRO,Iguala Gro.,15.48709677,23.83709677,32.18709677,0,GRO
142,CALGR,-100.66,18.36,GRO,Ciudad Altamirano Gro.,16.59677419,25.48387097,34.37096774,0,GRO
143,VGRGR,-100.27,18.38,GRO,Vicente Guerrero Gro.,14.33870968,25.45967742,36.58064516,0,GRO
144,BVSGR,-99.4,18.46,GRO,Buena Vista Gro.,12.12903226,20.20967742,28.29032258,8,GRO
145,ACNGJ,-100.72,20.03,GTO,Acámbaro Gto.,7.741935484,16.17741935,24.61290323,2.04,GTO
146,SLSGJ,-100.67,20.05,GTO,Solís Gto.,7.806451613,16.29032258,24.77419355,1.02,GTO
147,JCRGJ,-100.52,20.13,GTO,Jerécuaro Gto.,4.709677419,14.58870968,24.46774194,0.03,GTO
148,ECBGJ,-100.9,20.28,GTO,El Cubo Gto.,5.080645161,15.24193548,25.40322581,1.03,GTO
149,SLVGJ,-100.88,20.21,GTO,Salvatierra Gto.,6.629032258,16.34677419,26.06451613,1.71,GTO
150,LJIGJ,-101.36,20.28,GTO,Las Jícamas Gto.,7.774193548,16.61290323,25.4516129,8,GTO
151,TARGJ,-100.75,20.28,GTO,Tarimoro Gto.,6.887096774,16.23387097,25.58064516,0.04,GTO
152,LDYGJ,-101.07,20.29,GTO,Laguna de Yuriria Gto.,5.741935484,14.90322581,24.06451613,2.51,GTO
153,SRTGJ,-101.07,20.3,GTO,Santa Rita Gto.,6.209677419,15.74193548,25.27419355,0.03,GTO
154,VDSGJ,-101.18,20.39,GTO,Valle de Santiago Gto.,6.677419355,15,23.32258065,0.01,GTO
155,SJLGJ,-101.02,20.4,GTO,Santa Julia Gto.,5.806451613,15.7983871,25.79032258,7.7,GTO
156,ABSGJ,-101.52,20.43,GTO,Abasolo Gto.,9.564516129,17.50806452,25.4516129,12.3,GTO
157,GLNGJ,-101.74,20.44,GTO,La Golondrina Gto.,9.838709677,16.51612903,23.19354839,1.01,GTO
158,APSGJ,-100.62,20.45,GTO,Apaseo el Alto Gto.,8.451612903,16.89516129,25.33870968,0,GTO
159,CRTGJ,-100.95,20.48,GTO,Cortázar Gto.,7.387096774,16.5483871,25.70967742,15,GTO
160,ATBGJ,-101.63,20.5,GTO,Agua Tibia Gto.,5.258064516,15.69354839,26.12903226,1.02,GTO
161,PERGJ,-101.13,20.52,GTO,Pericos Gto.,6.483870968,15.42741935,24.37096774,0.01,GTO
162,CLYGJ,-100.82,20.53,GTO,Celaya Gto.,7.709677419,17.20967742,26.70967742,2.1,GTO
163,AEGGJ,-100.68,20.53,GTO,Apaseo el Grande Gto.,7.935483871,17.92741935,27.91935484,0,GTO
164,AMCGJ,-100.58,20.55,GTO,Ameche Gto.,6,15.92741935,25.85483871,0,GTO
165,SLMGJ,-101.2,20.57,GTO,Salamanca Gto.,8,16.95967742,25.91935484,17.8,GTO
166,TEMGJ,-101.3,20.6,GTO,Temascatío Gto.,9.370967742,17.82258065,26.27419355,2.51,GTO
